"delGcox0","delGd0","delGcat0","delGan0","delGdis0","lambda0","delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichD_donor","stoichD_h2o","stoichD_hco3","stoichD_nh4","stoichD_hpo4","stoichD_hs","stoichD_h","stoichD_e","stoichD_acceptor","stoichD_biom","stoichA_donor","stoichA_h2o","stoichA_hco3","stoichA_nh4","stoichA_hpo4","stoichA_hs","stoichA_h","stoichA_e","stoichA_acceptor","stoichA_biom","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","MolForm"
60.3,361.8,-2583.6,6.11499999999997,492.0732,0.192827,-139.469216776112,-836.815300656672,-2823.32306013133,-3.8734608388056,465.116279069767,0.163368770915471,-1,-12,6,0,0,0,30,24,0,0,0,2,0,0,0,0,-4,-4,-1,0,-1,0,6,0,0,0,6,0,-6,0,-0.175,0.4,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-0.338368770915471,0.4,1.03021262549282,-0.2,0,0,1.23021262549282,0,-0.980212625492825,1,"C6H12O6"
60.3,120.6,-861.2,6.11499999999999,492.0732,0.578481432702228,-119.492295098501,-238.984590197002,-901.153843355222,17.1023069226862,540.50887167486,0.618774677275324,-1,-4,2,0,0,0,9,8,0,0,0,2,0,0,0,0,-4,-4,-1,0,-1,0,2,0,0,0,1,0,-2,0,-0.525,0.4,0.0499999999999998,-0.2,0,0,-0.275000000000001,0,0,1,-1.14377467727532,0.4,1.28754935455065,-0.2,0,0,0.343774677275323,0,-1.23754935455065,1,"C2H3O2"
60.3,361.8,-2583.6,6.1149999999999,492.0732,0.192827144234076,-132.810242883575,-796.86145730145,-2783.36921677611,3.11846174835826,478.863483889058,0.173164933610813,-1,-13,6,1,0,0,29,24,0,0,0,2,0,0,0,0,-4,-4,-1,0,-1,-1,6,1,0,0,5,0,-6,0,-0.175,0.225000000000001,0.0499999999999998,-0.025,0,0,0.0749999999999988,0,0,1,-0.348164933610813,0.0518350663891874,1.08898960166488,0.148164933610813,0,0,0.940824668054064,0,-1.03898960166488,1,"C6H13NO5"
60.3,482.4,-3444.8,6.11500000000004,492.0732,0.144620358175557,-134.474986356709,-1075.79989085367,-3724.47690348656,1.37048110156741,471.157810415833,0.126871048945171,-1,-18,8,1,0,0,39,32,0,0,0,2,0,0,0,0,-4,-4,-1,0,-1,-2,8,1,0,0,7,0,-8,0,-0.13125,0.1375,0.0499999999999998,-0.06875,0,0,0.118749999999999,0,0,1,-0.258121048945171,-0.116242097890341,1.06496839156137,0.0581210489451707,0,0,1.00684734261619,0,-1.01496839156137,1,"C8H15NO6"
31.8,127.2,-1345.5,-12.6799999999999,465.1163,0.336258847320526,-108.038451743278,-432.153806973114,-1425.40768671044,-8.68461566447763,465.116279069768,0.320211310532948,-1,-9,4,2,0,0,14,12,0,0,0,2,0,0,0,0,-4,-4,-1,0,-1,-3,4,2,0,0,2,0,-3,0,-0.35,-0.649999999999999,0.4,0.5,0,0,-0.100000000000001,0,0,1,-0.670211310532948,-1.61063393159884,1.68084524213179,1.1404226210659,0,0,0.540422621065896,0,-0.960633931598845,1,"C4H8N2O3"
72.9666666666667,656.7,-4252.3,-14.232777777778,465.1163,0.106032853112901,-140.12049789452,-1261.08448105068,-4571.93074684178,-17.7842305204644,465.116279069768,0.0978431374662255,-1,-25,9,1,0,0,48,40,0,0,0,2,0,0,0,0,-4,-4,-1,0,-1,-5,9,1,0,0,8,0,-10,0,-0.111111111111111,-0.155555555555555,0,-0.0888888888888889,0,0,0.0888888888888877,0,-0.0611111111111113,1,-0.208954248577337,-0.644771242886682,0.880588237196029,0.00895424857733657,0,0,0.871633988618691,0,-1.03954248577337,1,"C9H11NO2"
65.4818181818182,720.3,-4925.05,8.56652173913044,502.8803,0.103846020960889,-134.287398594294,-1477.16138453723,-5284.634590197,7.69795992706041,499.051417720643,0.0958910912379304,-1,-31,11,2,0,0,55,46,0,0,0,2,0,0,0,0,-4,-4,-1,0,-1,-8,11,2,0,0,9,0,-11.5,0,-0.0913043478260869,-0.330434782608695,0.00434782608695639,-0.0173913043478261,0,0,0.021739130434782,0,0,1,-0.187195439064017,-1.09756351251214,1.05914982970419,0.174390878128035,0,0,0.884758951576155,0,-1.1027475492362,1,"C11H12N2O2"
